"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-04","Canada","2021A000011124","Unemployment rate","Total - Gender","55 years and over","Percent","239","units","0","v2091183","1.8.1.7","5.6","","","","1"
"2025-05","Canada","2021A000011124","Unemployment rate","Total - Gender","55 years and over","Percent","239","units","0","v2091183","1.8.1.7","5.0","","","","1"
"2024-05","Canada","2021A000011124","Unemployment rate","Total - Gender","15 to 64 years","Percent","239","units","0","v2091184","1.8.1.8","6.4","","","","1"
"2024-06","Canada","2021A000011124","Unemployment rate","Total - Gender","15 to 64 years","Percent","239","units","0","v2091184","1.8.1.8","6.3","","","","1"
"2024-07","Canada","2021A000011124","Unemployment rate","Total - Gender","15 to 64 years","Percent","239","units","0","v2091184","1.8.1.8","6.8","","","","1"
"2024-08","Canada","2021A000011124","Unemployment rate","Total - Gender","15 to 64 years","Percent","239","units","0","v2091184","1.8.1.8","7.6","","","","1"
"2024-09","Canada","2021A000011124","Unemployment rate","Total - Gender","15 to 64 years","Percent","239","units","0","v2091184","1.8.1.8","6.1","","","","1"
"2024-10","Canada","2021A000011124","Unemployment rate","Total - Gender","15 to 64 years","Percent","239","units","0","v2091184","1.8.1.8","6.1","","","","1"
"2024-11","Canada","2021A000011124","Unemployment rate","Total - Gender","15 to 64 years","Percent","239","units","0","v2091184","1.8.1.8","6.6","","","","1"
"2024-12","Canada","2021A000011124","Unemployment rate","Total - Gender","15 to 64 years","Percent","239","units","0","v2091184","1.8.1.8","6.3","","","","1"
"2025-01","Canada","2021A000011124","Unemployment rate","Total - Gender","15 to 64 years","Percent","239","units","0","v2091184","1.8.1.8","7.2","","","","1"
"2025-02","Canada","2021A000011124","Unemployment rate","Total - Gender","15 to 64 years","Percent","239","units","0","v2091184","1.8.1.8","6.8","","","","1"
"2025-03","Canada","2021A000011124","Unemployment rate","Total - Gender","15 to 64 years","Percent","239","units","0","v2091184","1.8.1.8","7.2","","","","1"
"2025-04","Canada","2021A000011124","Unemployment rate","Total - Gender","15 to 64 years","Percent","239","units","0","v2091184","1.8.1.8","7.1","","","","1"
"2025-05","Canada","2021A000011124","Unemployment rate","Total - Gender","15 to 64 years","Percent","239","units","0","v2091184","1.8.1.8","7.2","","","","1"
"2024-05","Canada","2021A000011124","Unemployment rate","Total - Gender","15 to 19 years","Percent","239","units","0","v2091185","1.8.1.9","18.9","","","","1"
"2024-06","Canada","2021A000011124","Unemployment rate","Total - Gender","15 to 19 years","Percent","239","units","0","v2091185","1.8.1.9","17.8","","","","1"
"2024-07","Canada","2021A000011124","Unemployment rate","Total - Gender","15 to 19 years","Percent","239","units","0","v2091185","1.8.1.9","20.9","","","","1"
"2024-08","Canada","2021A000011124","Unemployment rate","Total - Gender","15 to 19 years","Percent","239","units","0","v2091185","1.8.1.9","20.0","","","","1"
"2024-09","Canada","2021A000011124","Unemployment rate","Total - Gender","15 to 19 years","Percent","239","units","0","v2091185","1.8.1.9","19.8","","","","1"
"2024-10","Canada","2021A000011124","Unemployment rate","Total - Gender","15 to 19 years","Percent","239","units","0","v2091185","1.8.1.9","19.2","","","","1"
"2024-11","Canada","2021A000011124","Unemployment rate","Total - Gender","15 to 19 years","Percent","239","units","0","v2091185","1.8.1.9","17.7","","","","1"
"2024-12","Canada","2021A000011124","Unemployment rate","Total - Gender","15 to 19 years","Percent","239","units","0","v2091185","1.8.1.9","16.5","","","","1"
"2025-01","Canada","2021A000011124","Unemployment rate","Total - Gender","15 to 19 years","Percent","239","units","0","v2091185","1.8.1.9","17.6","","","","1"
"2025-02","Canada","2021A000011124","Unemployment rate","Total - Gender","15 to 19 years","Percent","239","units","0","v2091185","1.8.1.9","17.2","","","","1"
"2025-03","Canada","2021A000011124","Unemployment rate","Total - Gender","15 to 19 years","Percent","239","units","0","v2091185","1.8.1.9","20.2","","","","1"
"2025-04","Canada","2021A000011124","Unemployment rate","Total - Gender","15 to 19 years","Percent","239","units","0","v2091185","1.8.1.9","20.8","","","","1"
"2025-05","Canada","2021A000011124","Unemployment rate","Total - Gender","15 to 19 years","Percent","239","units","0","v2091185","1.8.1.9","20.9","","","","1"
